commodity,price,timestamp,source
GAS,3.66,2025-05-08T23:20:48.187547,Historical Data
GAS,3.54,2025-05-09T00:20:48.187547,Historical Data
GAS,3.26,2025-05-09T01:20:48.187547,Historical Data
GAS,3.37,2025-05-09T02:20:48.187547,Historical Data
GAS,3.26,2025-05-09T03:20:48.187547,Historical Data
GAS,3.33,2025-05-09T04:20:48.187547,Historical Data
GAS,3.18,2025-05-09T05:20:48.187547,Historical Data
GAS,2.98,2025-05-09T06:20:48.187547,Historical Data
GAS,3.31,2025-05-09T07:20:48.187547,Historical Data
GAS,3.37,2025-05-09T08:20:48.187547,Historical Data
GAS,3.23,2025-05-09T09:20:48.187547,Historical Data
GAS,3.33,2025-05-09T10:20:48.187547,Historical Data
GAS,3.46,2025-05-09T11:20:48.187547,Historical Data
GAS,3.67,2025-05-09T12:20:48.187547,Historical Data
GAS,3.51,2025-05-09T13:20:48.187547,Historical Data
GAS,3.63,2025-05-09T14:20:48.187547,Historical Data
GAS,3.75,2025-05-09T15:20:48.187547,Historical Data
GAS,3.6,2025-05-09T16:20:48.187547,Historical Data
GAS,3.63,2025-05-09T17:20:48.187547,Historical Data
GAS,3.43,2025-05-09T18:20:48.187547,Historical Data
GAS,3.42,2025-05-09T19:20:48.187547,Historical Data
GAS,3.28,2025-05-09T20:20:48.187547,Historical Data
GAS,3.37,2025-05-09T21:20:48.187547,Historical Data
GAS,3.35,2025-05-09T22:20:48.187547,Historical Data
GAS,3.19,2025-05-09T23:20:48.187547,Historical Data
GAS,3.29,2025-05-10T00:20:48.187547,Historical Data
GAS,3.38,2025-05-10T01:20:48.187547,Historical Data
GAS,3.34,2025-05-10T02:20:48.187547,Historical Data
GAS,3.16,2025-05-10T03:20:48.187547,Historical Data
GAS,3.21,2025-05-10T04:20:48.187547,Historical Data
GAS,3.13,2025-05-10T05:20:48.187547,Historical Data
GAS,3.28,2025-05-10T06:20:48.187547,Historical Data
GAS,3.34,2025-05-10T07:20:48.187547,Historical Data
GAS,3.38,2025-05-10T08:20:48.187547,Historical Data
GAS,3.46,2025-05-10T09:20:48.187547,Historical Data
GAS,3.27,2025-05-10T10:20:48.187547,Historical Data
GAS,3.18,2025-05-10T11:20:48.187547,Historical Data
GAS,3.05,2025-05-10T12:20:48.187547,Historical Data
GAS,3.07,2025-05-10T13:20:48.187547,Historical Data
GAS,2.99,2025-05-10T14:20:48.187547,Historical Data
GAS,2.81,2025-05-10T15:20:48.187547,Historical Data
GAS,2.91,2025-05-10T16:20:48.187547,Historical Data
GAS,2.79,2025-05-10T17:20:48.187547,Historical Data
GAS,2.85,2025-05-10T18:20:48.187547,Historical Data
GAS,2.77,2025-05-10T19:20:48.187547,Historical Data
GAS,2.65,2025-05-10T20:20:48.187547,Historical Data
GAS,2.68,2025-05-10T21:20:48.187547,Historical Data
GAS,2.56,2025-05-10T22:20:48.187547,Historical Data
GAS,2.63,2025-05-10T23:20:48.187547,Historical Data
GAS,2.6,2025-05-11T00:20:48.187547,Historical Data
GAS,2.66,2025-05-11T01:20:48.187547,Historical Data
GAS,2.72,2025-05-11T02:20:48.187547,Historical Data
GAS,2.76,2025-05-11T03:20:48.187547,Historical Data
GAS,2.74,2025-05-11T04:20:48.187547,Historical Data
GAS,2.69,2025-05-11T05:20:48.187547,Historical Data
GAS,2.62,2025-05-11T06:20:48.187547,Historical Data
GAS,2.51,2025-05-11T07:20:48.187547,Historical Data
GAS,2.51,2025-05-11T08:20:48.187547,Historical Data
GAS,2.57,2025-05-11T09:20:48.187547,Historical Data
GAS,2.41,2025-05-11T10:20:48.187547,Historical Data
GAS,2.43,2025-05-11T11:20:48.187547,Historical Data
GAS,2.38,2025-05-11T12:20:48.187547,Historical Data
GAS,2.24,2025-05-11T13:20:48.187547,Historical Data
GAS,2.26,2025-05-11T14:20:48.187547,Historical Data
GAS,2.16,2025-05-11T15:20:48.187547,Historical Data
GAS,2.11,2025-05-11T16:20:48.187547,Historical Data
GAS,2.04,2025-05-11T17:20:48.187547,Historical Data
GAS,1.87,2025-05-11T18:20:48.187547,Historical Data
GAS,1.93,2025-05-11T19:20:48.187547,Historical Data
GAS,2.01,2025-05-11T20:20:48.187547,Historical Data
GAS,1.9,2025-05-11T21:20:48.187547,Historical Data
GAS,1.82,2025-05-11T22:20:48.187547,Historical Data
GAS,1.84,2025-05-11T23:20:48.187547,Historical Data
GAS,1.75,2025-05-12T00:20:48.187547,Historical Data
GAS,1.75,2025-05-12T01:20:48.187547,Historical Data
GAS,1.82,2025-05-12T02:20:48.187547,Historical Data
GAS,1.78,2025-05-12T03:20:48.187547,Historical Data
